order,family,genus,species,scientificName,locality,stateProvince,decimalLatitude,decimalLongitude,eventDate,day,month,year,basisOfRecord
Pelecaniformes,Ardeidae,Egretta,Egretta thula,"Egretta thula (Molina, 1782)",,Bolívar,10.42868,-75.548828,2025-01-05 16:50:00,5.0,1.0,2025.0,HUMAN_OBSERVATION
Piciformes,Bucconidae,Notharchus,Notharchus tectus,"Notharchus tectus (Boddaert, 1783)",,Atlántico,11.005845,-74.683324,2025-02-11 07:59:00,11.0,2.0,2025.0,HUMAN_OBSERVATION
Charadriiformes,Jacanidae,Jacana,Jacana jacana,"Jacana jacana (Linnaeus, 1766)",,Bolívar,10.541411,-75.466088,,12.0,7.0,2025.0,HUMAN_OBSERVATION
Columbiformes,Columbidae,Columbina,Columbina passerina,"Columbina passerina (Linnaeus, 1758)",,Bolívar,10.424547,-75.553675,,21.0,12.0,2025.0,HUMAN_OBSERVATION
Passeriformes,Tyrannidae,Todirostrum,Todirostrum cinereum,"Todirostrum cinereum (Linnaeus, 1766)",,Atlántico,11.033499,-74.842648,2026-01-14 14:27:00,14.0,1.0,2026.0,HUMAN_OBSERVATION
Pelecaniformes,Ardeidae,Egretta,Egretta thula,"Egretta thula (Molina, 1782)",,Bolívar,10.430167,-75.54663,2025-01-05 10:26:00,5.0,1.0,2025.0,HUMAN_OBSERVATION
Accipitriformes,Cathartidae,Cathartes,Cathartes aura,"Cathartes aura (Linnaeus, 1758)",,Magdalena,11.294868,-73.911417,2025-09-10 08:09:00,10.0,9.0,2025.0,HUMAN_OBSERVATION
Passeriformes,Thraupidae,Ramphocelus,Ramphocelus dimidiatus,"Ramphocelus dimidiatus Lafresnaye, 1837",,Magdalena,11.294868,-73.911417,2025-09-10 08:09:00,10.0,9.0,2025.0,HUMAN_OBSERVATION
Passeriformes,Parulidae,Protonotaria,Protonotaria citrea,"Protonotaria citrea (Boddaert, 1783)",,Atlántico,11.033499,-74.842648,2026-01-14 14:22:00,14.0,1.0,2026.0,HUMAN_OBSERVATION
Suliformes,Phalacrocoracidae,Phalacrocorax,Phalacrocorax brasilianus,"Nannopterum brasilianum (J.F.Gmelin, 1789)",,Atlántico,11.021599,-74.795731,2026-01-14 10:17:00,14.0,1.0,2026.0,HUMAN_OBSERVATION
Pelecaniformes,Threskiornithidae,Plegadis,Plegadis falcinellus,"Plegadis falcinellus (Linnaeus, 1766)",,Córdoba,9.082581,-75.801474,,23.0,12.0,2025.0,HUMAN_OBSERVATION
Passeriformes,Passerellidae,Arremonops,Arremonops tocuyensis,"Arremonops tocuyensis Todd, 1912",,La Guajira,11.420917,-73.050255,2025-01-21 09:20:00,21.0,1.0,2025.0,HUMAN_OBSERVATION
Galliformes,Phasianidae,Pavo,Pavo cristatus,"Pavo cristatus Linnaeus, 1758",,La Guajira,11.218929,-73.40205,2025-11-12 16:59:00,12.0,11.0,2025.0,HUMAN_OBSERVATION
Passeriformes,Parulidae,Myiothlypis,Myiothlypis conspicillata,"Myiothlypis conspicillata (Salvin & Godman, 1880)",,Magdalena,11.035104,-74.113965,2025-02-23 14:18:00,23.0,2.0,2025.0,HUMAN_OBSERVATION
Apodiformes,Trochilidae,Chalybura,Chalybura buffonii,"Chalybura buffonii (R.Lesson, 1832)",,Magdalena,11.132091,-74.102703,2025-10-12 07:07:00,12.0,10.0,2025.0,HUMAN_OBSERVATION
Passeriformes,Thraupidae,Sporathraupis,Sporathraupis cyanocephala,"Sporathraupis cyanocephala (d'Orbigny & Lafresnaye, 1837)",,Cesar,10.36304,-72.946658,,25.0,2.0,2026.0,HUMAN_OBSERVATION
Galliformes,Cracidae,Ortalis,Ortalis garrula,"Ortalis garrula (Humboldt, 1805)",,Atlántico,11.014787,-74.842723,2025-03-05 10:30:00,5.0,3.0,2025.0,HUMAN_OBSERVATION
Falconiformes,Falconidae,Caracara,Caracara plancus,"Caracara plancus (J.F.Miller, 1777)",,La Guajira,12.198862,-72.147583,,18.0,7.0,2025.0,HUMAN_OBSERVATION
Passeriformes,Passeridae,Passer,Passer domesticus,"Passer domesticus (Linnaeus, 1758)",,La Guajira,11.428959,-73.089847,2025-09-20 09:44:00,20.0,9.0,2025.0,HUMAN_OBSERVATION
Pelecaniformes,Ardeidae,Egretta,Egretta caerulea,"Egretta caerulea (Linnaeus, 1758)",,La Guajira,11.419442,-73.068502,2025-02-21 11:25:00,21.0,2.0,2025.0,HUMAN_OBSERVATION
Passeriformes,Troglodytidae,Campylorhynchus,Campylorhynchus griseus,"Campylorhynchus griseus (Swainson, 1838)",,Magdalena,11.20138,-74.227087,2025-02-24 09:45:00,24.0,2.0,2025.0,HUMAN_OBSERVATION
Apodiformes,Trochilidae,Florisuga,Florisuga mellivora,"Florisuga mellivora (Linnaeus, 1758)",,Magdalena,11.14409,-74.108978,2025-01-15 15:32:00,15.0,1.0,2025.0,HUMAN_OBSERVATION
Apodiformes,Trochilidae,Lafresnaya,Lafresnaya lafresnayi,"Lafresnaya lafresnayi (Boissonneau, 1840)",,Magdalena,11.110391,-74.042558,2025-03-06 06:10:00,6.0,3.0,2025.0,HUMAN_OBSERVATION
Passeriformes,Icteridae,Quiscalus,Quiscalus mexicanus,"Quiscalus mexicanus (Gmelin, 1788)",,Bolívar,10.415668,-75.542611,2025-12-25 15:28:00,25.0,12.0,2025.0,HUMAN_OBSERVATION
Pelecaniformes,Ardeidae,Egretta,Egretta thula,"Egretta thula (Molina, 1782)",,Bolívar,10.432167,-75.544766,,9.0,8.0,2025.0,HUMAN_OBSERVATION
Pelecaniformes,Ardeidae,Ardea,Ardea alba,"Ardea alba Linnaeus, 1758",,Atlántico,11.010161,-74.781948,,14.0,1.0,2026.0,HUMAN_OBSERVATION
Passeriformes,Thraupidae,Saltator,Saltator olivascens,"Saltator olivascens Cabanis, 1849",,La Guajira,11.417847,-73.068137,2025-02-21 11:45:00,21.0,2.0,2025.0,HUMAN_OBSERVATION
Strigiformes,Strigidae,Glaucidium,Glaucidium brasilianum,"Glaucidium brasilianum (J.F.Gmelin, 1788)",,Bolívar,10.208596,-75.605844,,9.0,1.0,2025.0,HUMAN_OBSERVATION
Passeriformes,Parulidae,Protonotaria,Protonotaria citrea,"Protonotaria citrea (Boddaert, 1783)",,Magdalena,11.002132,-74.223519,,28.0,2.0,2025.0,HUMAN_OBSERVATION
Pelecaniformes,Threskiornithidae,Plegadis,Plegadis falcinellus,"Plegadis falcinellus (Linnaeus, 1766)",,Atlántico,10.775076,-74.76528,2025-11-23 15:12:00,23.0,11.0,2025.0,HUMAN_OBSERVATION
